card_set,total_cards,signed_cards,known_autos,unknown_autos,total_known_signed_cards
"2018 panini flawless football - patch autographs silver",1,1,0,1,0
"2018 panini flawless football - star swatch signatures",1,1,0,1,0
"2018 panini flawless football - star swatch signatures emerald",1,1,0,1,0
"2018 panini flawless football - star swatch signatures platinum",1,1,0,1,0
"2018 panini flawless football - star swatch signatures ruby",1,1,0,1,0
"2018 panini flawless football - star swatch signatures sapphire",1,1,0,1,0
"2018 panini flawless football - star swatch signatures silver",1,1,0,1,0
"2018 panini flawless football – captains emerald",1,0,0,0,0
"2018 panini flawless football – captains platinum",1,0,0,0,0
"2018 panini flawless football – captains ruby",1,0,0,0,0
"2018 panini flawless football – captains sapphire",1,0,0,0,0
"2018 panini flawless football – captains silver",1,0,0,0,0
"2018 panini immaculate collection football - immaculate honors signatures",1,1,1,0,18
"2018 panini immaculate collection football - immaculate moments autographs",1,1,1,0,25
"2018 panini immaculate collection football - immaculate players collection autographs",1,1,1,0,25
"2018 panini immaculate collection football - immaculate players collection autographs gold",1,1,1,0,5
"2018 panini immaculate collection football - immaculate players collection autographs tag",1,1,1,0,1
"2018 panini immaculate collection football - immaculate post seasons signatures",1,1,1,0,9
"2018 panini immaculate collection football - immaculate records",1,0,0,0,0
"2018 panini immaculate collection football - immaculate shadowbox signatures",1,1,1,0,24
"2018 panini immaculate collection football - immaculate shadowbox signatures platinum",1,1,1,0,1
"2018 panini one football - patch autographs black",1,1,1,0,1
